,Australia_FX,Austria_FX,Belgium_FX,Canada_FX,Czech Republic_FX,Denmark_FX,Finland_FX,France_FX,Germany_FX,Greece_FX,Ireland_FX,Italy_FX,Japan_FX,Korea_FX,Netherlands_FX,New Zealand_FX,Norway_FX,Portugal_FX,Slovenia_FX,Spain_FX,Sweden_FX,Switzerland_FX,United Kingdom_FX,United States_FX
2004Q1,1.3177,0.8180628272251309,0.8180628272251309,1.3113,26.86,6.0903,0.8180628272251309,0.8180628272251309,0.8180628272251309,0.8180628272251309,0.8180628272251309,0.8180628272251309,104.3,1153.6,0.8180628272251309,1.52323,6.9,0.8180628272251309,0.8180628272251309,0.8180628272251309,7.5737,1.2759,0.545137,1
2004Q2,1.45159,0.8227067050596463,0.8227067050596463,1.3338,26.14,6.1148,0.8227067050596463,0.8227067050596463,0.8227067050596463,0.8227067050596463,0.8227067050596463,0.8227067050596463,108.38,1152.5,0.8227067050596463,1.58403,6.94,0.8227067050596463,0.8227067050596463,0.8227067050596463,7.5237,1.2538,0.551968,1
2004Q3,1.39919,0.8058667096462245,0.8058667096462245,1.2616,25.51,5.9969,0.8058667096462245,0.8058667096462245,0.8058667096462245,0.8058667096462245,0.8058667096462245,0.8058667096462245,111,1147.9,0.8058667096462245,1.49298,6.72,0.8058667096462245,0.8058667096462245,0.8058667096462245,7.3002,1.2595,0.555926,1
2004Q4,1.2837,0.7341604874825637,0.7341604874825637,1.202,22.37,5.4676,0.7341604874825637,0.7341604874825637,0.7341604874825637,0.7341604874825637,0.7341604874825637,0.7341604874825637,104.12,1043.8,0.7341604874825637,1.39198,6.04,0.7341604874825637,0.7341604874825637,0.7341604874825637,6.6146,1.1316,0.517759,1
2005Q1,1.29551,0.771366862079605,0.771366862079605,1.2096,23.1,5.7463,0.771366862079605,0.771366862079605,0.771366862079605,0.771366862079605,0.771366862079605,0.771366862079605,107.35,1024.3,0.771366862079605,1.41103,6.33,0.771366862079605,0.771366862079605,0.771366862079605,7.0526,1.1952,0.53118,1
2005Q2,1.30942,0.8269930532583526,0.8269930532583526,1.2254,24.84,6.1623,0.8269930532583526,0.8269930532583526,0.8269930532583526,0.8269930532583526,0.8269930532583526,0.8269930532583526,110.4,1024.4,0.8269930532583526,1.42878,6.55,0.8269930532583526,0.8269930532583526,0.8269930532583526,7.7952,1.2849,0.557569,1
2005Q3,1.3132,0.8304268393954493,0.8304268393954493,1.1627,24.54,6.197,0.8304268393954493,0.8304268393954493,0.8304268393954493,0.8304268393954493,0.8304268393954493,0.8304268393954493,113.15,1038,0.8304268393954493,1.4497,6.54,0.8304268393954493,0.8304268393954493,0.8304268393954493,7.7455,1.2902,0.566155,1
2005Q4,1.36296,0.847673137238281,0.847673137238281,1.163,24.59,6.3241,0.847673137238281,0.847673137238281,0.847673137238281,0.847673137238281,0.847673137238281,0.847673137238281,117.97,1013,0.847673137238281,1.46757,6.77,0.847673137238281,0.847673137238281,0.847673137238281,7.9584,1.3143,0.580754,1
2006Q1,1.39684,0.8261731658955718,0.8261731658955718,1.168,23.62,6.1652,0.8261731658955718,0.8261731658955718,0.8261731658955718,0.8261731658955718,0.8261731658955718,0.8261731658955718,117.4,975.9,0.8261731658955718,1.63079,6.58,0.8261731658955718,0.8261731658955718,0.8261731658955718,7.7921,1.3057,0.576402,1
2006Q2,1.34535,0.7865963973884998,0.7865963973884998,1.1162,22.41,5.8674,0.7865963973884998,0.7865963973884998,0.7865963973884998,0.7865963973884998,0.7865963973884998,0.7865963973884998,114.95,960.3,0.7865963973884998,1.65399,6.24,0.7865963973884998,0.7865963973884998,0.7865963973884998,7.267,1.2329,0.545137,1
