;Australia_Total;Austria_Total;Belgium_Total;Canada_Total;Czech Republic_Total;Denmark_Total;Finland_Total;France_Total;Germany_Total;Greece_Total;Ireland_Total;Italy_Total;Japan_Total;Korea_Total;Netherlands_Total;New Zealand_Total;Norway_Total;Portugal_Total;Slovenia_Total;Spain_Total;Sweden_Total;Switzerland_Total;United Kingdom_Total;United States_Total;Australia_Foreign;Austria_Foreign;Belgium_Foreign;Canada_Foreign;Czech Republic_Foreign;Denmark_Foreign;Finland_Foreign;France_Foreign;Germany_Foreign;Greece_Foreign;Ireland_Foreign;Italy_Foreign;Japan_Foreign;Korea_Foreign;Netherlands_Foreign;New Zealand_Foreign;Norway_Foreign;Portugal_Foreign;Slovenia_Foreign;Spain_Foreign;Sweden_Foreign;Switzerland_Foreign;United Kingdom_Foreign;United States_Foreign;Australia_ForeignOfficial;Austria_ForeignOfficial;Belgium_ForeignOfficial;Canada_ForeignOfficial;Czech Republic_ForeignOfficial;Denmark_ForeignOfficial;Finland_ForeignOfficial;France_ForeignOfficial;Germany_ForeignOfficial;Greece_ForeignOfficial;Ireland_ForeignOfficial;Italy_ForeignOfficial;Japan_ForeignOfficial;Korea_ForeignOfficial;Netherlands_ForeignOfficial;New Zealand_ForeignOfficial;Norway_ForeignOfficial;Portugal_ForeignOfficial;Slovenia_ForeignOfficial;Spain_ForeignOfficial;Sweden_ForeignOfficial;Switzerland_ForeignOfficial;United Kingdom_ForeignOfficial;United States_ForeignOfficial;Australia_ForeignBank;Austria_ForeignBank;Belgium_ForeignBank;Canada_ForeignBank;Czech Republic_ForeignBank;Denmark_ForeignBank;Finland_ForeignBank;France_ForeignBank;Germany_ForeignBank;Greece_ForeignBank;Ireland_ForeignBank;Italy_ForeignBank;Japan_ForeignBank;Korea_ForeignBank;Netherlands_ForeignBank;New Zealand_ForeignBank;Norway_ForeignBank;Portugal_ForeignBank;Slovenia_ForeignBank;Spain_ForeignBank;Sweden_ForeignBank;Switzerland_ForeignBank;United Kingdom_ForeignBank;United States_ForeignBank;Australia_ForeignNonbank;Austria_ForeignNonbank;Belgium_ForeignNonbank;Canada_ForeignNonbank;Czech Republic_ForeignNonbank;Denmark_ForeignNonbank;Finland_ForeignNonbank;France_ForeignNonbank;Germany_ForeignNonbank;Greece_ForeignNonbank;Ireland_ForeignNonbank;Italy_ForeignNonbank;Japan_ForeignNonbank;Korea_ForeignNonbank;Netherlands_ForeignNonbank;New Zealand_ForeignNonbank;Norway_ForeignNonbank;Portugal_ForeignNonbank;Slovenia_ForeignNonbank;Spain_ForeignNonbank;Sweden_ForeignNonbank;Switzerland_ForeignNonbank;United Kingdom_ForeignNonbank;United States_ForeignNonbank;Australia_Domestic;Austria_Domestic;Belgium_Domestic;Canada_Domestic;Czech Republic_Domestic;Denmark_Domestic;Finland_Domestic;France_Domestic;Germany_Domestic;Greece_Domestic;Ireland_Domestic;Italy_Domestic;Japan_Domestic;Korea_Domestic;Netherlands_Domestic;New Zealand_Domestic;Norway_Domestic;Portugal_Domestic;Slovenia_Domestic;Spain_Domestic;Sweden_Domestic;Switzerland_Domestic;United Kingdom_Domestic;United States_Domestic;Australia_DomesticCentralBank;Austria_DomesticCentralBank;Belgium_DomesticCentralBank;Canada_DomesticCentralBank;Czech Republic_DomesticCentralBank;Denmark_DomesticCentralBank;Finland_DomesticCentralBank;France_DomesticCentralBank;Germany_DomesticCentralBank;Greece_DomesticCentralBank;Ireland_DomesticCentralBank;Italy_DomesticCentralBank;Japan_DomesticCentralBank;Korea_DomesticCentralBank;Netherlands_DomesticCentralBank;New Zealand_DomesticCentralBank;Norway_DomesticCentralBank;Portugal_DomesticCentralBank;Slovenia_DomesticCentralBank;Spain_DomesticCentralBank;Sweden_DomesticCentralBank;Switzerland_DomesticCentralBank;United Kingdom_DomesticCentralBank;United States_DomesticCentralBank;Australia_DomesticBank;Austria_DomesticBank;Belgium_DomesticBank;Canada_DomesticBank;Czech Republic_DomesticBank;Denmark_DomesticBank;Finland_DomesticBank;France_DomesticBank;Germany_DomesticBank;Greece_DomesticBank;Ireland_DomesticBank;Italy_DomesticBank;Japan_DomesticBank;Korea_DomesticBank;Netherlands_DomesticBank;New Zealand_DomesticBank;Norway_DomesticBank;Portugal_DomesticBank;Slovenia_DomesticBank;Spain_DomesticBank;Sweden_DomesticBank;Switzerland_DomesticBank;United Kingdom_DomesticBank;United States_DomesticBank;Australia_DomesticNonbank;Austria_DomesticNonbank;Belgium_DomesticNonbank;Canada_DomesticNonbank;Czech Republic_DomesticNonbank;Denmark_DomesticNonbank;Finland_DomesticNonbank;France_DomesticNonbank;Germany_DomesticNonbank;Greece_DomesticNonbank;Ireland_DomesticNonbank;Italy_DomesticNonbank;Japan_DomesticNonbank;Korea_DomesticNonbank;Netherlands_DomesticNonbank;New Zealand_DomesticNonbank;Norway_DomesticNonbank;Portugal_DomesticNonbank;Slovenia_DomesticNonbank;Spain_DomesticNonbank;Sweden_DomesticNonbank;Switzerland_DomesticNonbank;United Kingdom_DomesticNonbank;United States_DomesticNonbank
2004Q1;99.676;160.907;300.65;880.724;855.269;734.514;64.653;1082.162;1462.632;187.837;45.007;1525.032;749296.98;117466.55;263.389;36.856;692.983;94.022;7.132;388.781;1364.719;227.114;467.675;6928.154;25.543;111.82;153.757;176.248;79.405;215.014;50.041;469.279;675.794;109.955;24.441;514.718;26934.859;16529.242;151.306;12.964;381.803;58.563;2.318;164.703;519.016;25.872;68.344;1652.119;14.816;9.597;13.998;15.825;13.6;66.873;5.041;157.569;281.084;14.376;4.267;31.677;12075.813;11533.693;28.199;1.209;19.515;8.222;0.37;11.046;80.748;6.953;37.76;1031;1.293;23.99;44.116;22.784;37.432;22.808;6.794;72.363;87.758;76.32;8.224;248.137;2018.871;3957.125;27.454;0.085;11.006;36.768;1.21;57.991;69.831;11.635;3.277;133.995;9.434;78.233;95.64300000000001;137.639;28.373000000000005;125.33300000000003;38.206;239.34700000000004;306.952;19.259;11.95;234.90399999999994;12840.175;1038.423999999999;95.65300000000002;11.67;351.28200000000004;13.573;0.738;95.66600000000001;368.43699999999995;7.284000000000001;27.306999999999995;487.1239999999999;74.13300000000001;49.08700000000002;146.89299999999997;704.4760000000001;775.864;519.5;14.612000000000009;612.883;786.8380000000001;77.88199999999999;20.566;1010.314;722362.1209999999;100937.308;112.083;23.892000000000003;311.17999999999995;35.459;4.814;224.078;845.7030000000001;201.24200000000002;399.331;5276.035000000001;5.72;0.814;2.786;41.01;0;17.456;0.273;23.167;9.074;15.367;0.021;52.858;100022;7266.2;0.956;3.395;23.1;0.386;0.108;19.52;0;10.21;0;674.084;6.324;27.089;99.878;138.31;517.501;108.546;7.796;361.533;587.767;32.265;4.969;216.325;265450;47760.7;64.079;7.17;129.4;12.765;2.645;109.943;264.546;24.093;12.312;289.844;62.08900000000001;21.18400000000002;44.22899999999997;525.1560000000002;258.36300000000006;393.498;6.543000000000009;228.183;189.99700000000007;30.249999999999986;15.575999999999997;741.1310000000001;356890.1209999999;45910.40800000001;47.048;13.327000000000004;158.67999999999992;22.308;2.0610000000000004;94.615;581.1570000000002;166.93900000000002;387.019;4312.107000000001
2004Q2;98.403;169.004;300.425;883.909;897.217;748.265;66.964;1116.597;1472.314;198.359;46.95;1566.697;765997.66;125093.51;267.289;33.362;796.977;97.502;7.243;390.34;1335.595;227.967;493.249;7038.7;27.242;117.275;155.287;176.477;133.563;224.203;51.346;471.837;679.386;116.374;27.26;527.377;26935.383;15867.505;151.957;11.588;477.358;58.962;2.055;160.525;491.899;23.465;82.1;1803.709;16.229;9.209;14.823;15.783;14.4;70.985;5.092;145.815;289.997;15.371;5.806;33.348;12456.437;11374.138;29.238;1.231;20.336;8.621;0.363;11.868;86.162;7.395;39.648;1160.9;1.553;23.152;43.606;23.78;50.12;25.495;7.16;76.472;86.644;75.926;8.529;254.727;2057.685;3689.682;26.907;0.073;10.92;37.609;1.173;58.855;72.488;14.906;3.14;125.075;9.46;84.914;96.858;136.91400000000002;69.04299999999998;127.72300000000001;39.093999999999994;249.55;302.74499999999995;25.076999999999998;12.925;239.30199999999994;12421.261000000002;803.6849999999986;95.812;10.283999999999999;446.102;12.732;0.5190000000000001;89.80200000000002;333.24899999999997;1.1639999999999997;39.31199999999999;517.7339999999999;71.161;51.728999999999985;145.138;707.432;763.654;524.062;15.618000000000002;644.76;792.9280000000001;81.98500000000001;19.69;1039.32;739062.277;109226.00499999999;115.332;21.774;319.61899999999997;38.53999999999999;5.188000000000001;229.81499999999997;843.696;204.502;411.149;5234.991;6.656;0.82;2.782;43.02;0;17.149;0.281;24.687;9.276;14.883;0.02;54.195;94495.8;9164.4;0.943;3.352;22.4;0.407;0.111;20.159;0;9.98;0;687.391;5.711;27.018;100.904;132.07;526.484;106.528;7.934;370.601;587.208;35.766;5.002;221.602;276740;49888.6;64.491;6.436;133.5;13.883;2.74;112.51;210.205;24.565;19.926;262.662;58.794;23.890999999999984;41.452;532.3420000000001;237.16999999999996;400.385;7.403000000000001;249.47199999999998;196.4440000000002;31.33600000000002;14.668000000000003;763.5229999999999;367826.47699999996;50173.005;49.897999999999996;11.986;163.719;24.249999999999996;2.3370000000000006;97.14599999999997;633.491;169.95700000000002;391.223;4284.938
2004Q3;99.463;171.083;301.26;873.044;890.021;763.534;68.546;1121.826;1490.971;199.794;45.983;1571.92;754897.07;137407.12;271.687;34.76;817.268;99.055;7.306;386.682;1324.08;228.806;500.957;7150.902;25.643;121.11;156.583;169.641;156.884;234.656;53.006;478.84;692.157;118.071;26.226;538.535;31397.419;14971.371;160.254;13.072;493.291;60.73;2.11;165.254;513.505;24.629;86.478;1851.762;16.036;8.962;15.807;15.598;16.2;74.789;5.231;137.32;296.955;15.974;5.419;36.415;12209.062;9593.115;30.814;1.154;19.722;10.588;0.392;12.987;91.166;5.366;45.623;1204.9;1.565;23.812;45.804;22.775;47.499;28.273;7.312;70.187;89.329;86.021;9.801;254.259;2124.322;4473.087;26.214;0.113;9.578;39.911;1.308;66.761;80.62;12.272;3.256;132.919;8.042;88.336;94.97200000000001;131.26799999999997;93.185;131.59400000000002;40.463;271.33299999999997;305.87300000000005;16.075999999999993;11.005999999999998;247.86099999999996;17064.035000000003;905.168999999999;103.226;11.805;463.99100000000004;10.230999999999995;0.4099999999999999;85.506;341.719;6.991000000000001;37.599;513.9429999999999;73.82;49.973;144.677;703.403;733.137;528.8779999999999;15.540000000000006;642.9860000000001;798.814;81.72300000000001;19.756999999999998;1033.3850000000002;723499.651;122435.749;111.43300000000002;21.688;323.97700000000003;38.32500000000001;5.196;221.42800000000003;810.5749999999999;204.17700000000002;414.479;5299.14;5.053;0.814;2.764;42.81;0;16.601;0.29;24.831;9.292;14.759;0.02;55.308;94149.3;7964.4;0.709;4.359;22.6;0.427;0.113;20.55;0;9.86;0;698.617;4.887;27.23;98.261;128.22;488.846;102.509;7.984;369.797;593.736;35.871;4.998;224.734;265320;53189.8;62.516;7.001;137.5;13.552;2.835;106.393;220.794;24.461;13.99;240.249;63.879999999999995;21.929;43.65199999999999;532.373;244.29099999999994;409.7679999999999;7.266000000000007;248.35800000000006;195.78599999999994;31.09300000000001;14.738999999999997;753.3430000000002;364030.3509999999;61281.549;48.20800000000002;10.328;163.877;24.34600000000001;2.2479999999999993;94.48500000000001;589.781;169.856;400.489;4360.274
2004Q4;98.371;158.546;288.419;871.456;873.493;697.698;71.335;1134.347;1489.671;199.282;43.914;1526.461;761502.46;144708.15;266.661;35.442;768.099;102.155;7.428;389.888;1375.293;229.685;526.43;7341.928;27.535;113.284;144.483;167.556;178.892;203.111;55.714;503.776;703.152;117.719;25.253;530.411;34018.987;13869.701;156.187;14.06;460.27;63.211;2.14;176.153;487.633;27.532;92.126;1911.083;15.47;8.726;16.872;15.791;20.7;75.917;5.409;131.225;302.455;17.865;5.429;39.375;13179.534;8499.35;32.478;1.135;19.714;10.995;0.381;14.375;94.543;5.255;49.997;1233.3;1.646;22.542;41.984;22.138;50.751;21.477;6.66;76.374;85.332;87.286;7.828;247.575;2732.873;3132.247;27.019;0.104;9.037;37.154;1.41;64.709;71.67;12.706;2.834;124.584;10.419;82.016;85.62700000000001;129.627;107.441;105.71699999999998;43.644999999999996;296.177;315.36500000000007;12.567999999999998;11.995999999999999;243.46099999999996;18106.58;2238.103999999999;96.69;12.821000000000002;431.519;15.061999999999998;0.3490000000000002;97.06899999999999;321.41999999999996;9.571000000000002;39.295;553.1990000000001;70.836;45.261999999999986;143.93599999999998;703.9;694.6010000000001;494.587;15.620999999999995;630.5709999999999;786.519;81.56300000000002;18.661;996.0500000000001;727483.473;130838.449;110.47399999999999;21.381999999999998;307.82900000000006;38.944;5.288;213.73499999999999;887.6599999999999;202.153;434.304;5430.844999999999;3.306;0.817;2.853;43.19;0;14.984;0.298;25.28;9.43;14.541;0;56.652;95025.9;2759.1;0.529;4.332;0;0.447;0.116;20.029;0;9.81;0;717.813;5.177;26.447;95.65;138.48;451.398;68.39;8.513;360.591;574.023;34.465;4.751;212.386;267120;56724.5;63.022;7.717;143.9;14.296;2.93;100.642;223.023;24.477;29.873;228.48;62.353;17.997999999999987;45.432999999999964;522.23;243.2030000000001;411.213;6.809999999999995;244.69999999999993;203.06600000000003;32.557000000000016;13.91;727.0120000000001;365337.573;71354.84899999999;46.922999999999995;9.332999999999998;163.92900000000006;24.201;2.2420000000000004;93.064;664.6369999999998;167.86599999999999;404.431;4484.552
2005Q1;99.262;180.542;303.644;890.399;889.827;711.12;64.482;1157.643;1517.899;200.892;45.065;1587.711;767609.32;169203.25;267.909;33.17;785.51;103.673;7.824;394.722;1374.287;228.768;525.618;7527.069;26.67;124.044;155.307;168.924;210.87;206.289;48.484;509.193;718.259;126.066;25.316;596.57;34778.335;12466.653;156.904;12.424;473.789;65.597;2.164;178.297;474.767;30.906;97.012;2002.903;16.047;10.33;19.148;15.992;20.7;77.053;5.929;143.19;330.946;18.29;7.844;42.505;14116.92;7073.201;37.946;1.199;21.494;11.711;0.372;15.654;91.067;5.821;58.483;1229.6;1.817;26.84;47.439;21.625;70.12;23.194;6.09;84.292;87.693;90.567;11.189;259.709;2262.757;4290.298;28.496;0.068;13.617;36.529;1.238;68.714;73.507;12.575;3.546;137.143;8.806000000000001;86.874;88.72;131.30700000000002;120.05000000000001;106.04199999999999;36.465;281.711;299.62;17.209000000000017;6.282999999999998;294.35600000000005;18398.658;1103.1540000000005;90.462;11.157;438.67799999999994;17.356999999999992;0.5540000000000003;93.929;310.193;12.510000000000002;34.983000000000004;636.1600000000001;72.592;56.498000000000005;148.33700000000002;721.475;678.957;504.831;15.997999999999998;648.45;799.6399999999999;74.826;19.749;991.141;732830.985;156736.597;111.005;20.746000000000002;311.721;38.07600000000001;5.66;216.42499999999998;899.52;197.862;428.60600000000005;5524.166;4.758;0.824;2.97;43.19;0;13.461;0.312;26.633;9.36;14.626;0.03;58.058;99123.9;15641.8;0.157;4.533;0;0.452;0.117;20.514;0;8.29;0;717.536;4.683;28.495;96.321;140.01;434.559;75.931;8.4;361.776;580.696;33.339;4.803;216.304;263170;63327;64.599;6.882;147.1;13.85;3.206;99.047;249.168;24.512;16.701;246.059;63.151;27.179000000000006;49.04600000000002;538.2750000000001;244.39799999999997;415.439;7.285999999999998;260.041;209.58399999999983;26.860999999999997;14.915999999999997;716.779;370537.08499999996;77767.79700000002;46.248999999999995;9.331000000000001;164.621;23.774000000000008;2.337;96.86399999999998;650.352;165.06;411.90500000000003;4560.571
2005Q2;97.174;188.732;302.37;886.481;893.29;716.416;66.02;1176.901;1532.092;209.098;46.368;1631.195;778040.37;183607.8;282.521;33.849;780.707;106.002;7.373;393.037;1351.017;227.856;545.145;7482.177;28.889;137.291;163.143;166.798;227.328;205.297;51.749;525.059;754.359;133.857;26.191;625.598;40583.451;12428.533;179.794;12.341;469.599;69.587;1.935;186.402;457.146;37.014;100.948;1887.682;15.749;11.872;21.282;15.825;26.2;77.052;6.415;152.087;351.685;18.308;11.29;42.309;14417.09;6816.05;43.335;1.237;22.38;10.878;0.37;16.704;87.066;5.013;60.164;1283.8;2.134;30.595;45.108;27.215;98.798;31.734;8.395;84.016;106.759;101.697;11.29;310.985;3531.495;4902.371;36.969;0.09;16.573;42.8;1.081;73.103;95.212;14.532;5.19;156.266;11.005999999999998;94.824;96.75299999999999;123.75800000000001;102.33000000000001;96.511;36.93900000000001;288.95599999999996;295.915;13.852000000000004;3.6110000000000007;272.304;22634.866;710.1119999999992;99.49000000000001;11.014;430.646;15.909000000000006;0.484;96.59499999999998;274.86800000000005;17.469000000000005;35.593999999999994;447.6160000000001;68.28500000000001;51.441;139.227;719.683;665.962;511.119;14.270999999999994;651.8420000000001;777.7330000000001;75.24100000000001;20.177000000000003;1005.597;737456.919;171179.267;102.727;21.507999999999996;311.108;36.41499999999999;5.438000000000001;206.635;893.8710000000001;190.84199999999998;444.197;5594.495;7.02;0.89;3.059;45.22;0;12.997;0.326;26.543;9.572;14.108;0.023;59.428;97100.4;16634;0.333;4.612;0;0.456;0.083;21.344;0;3.17;0;726.022;5.907;30.184;92.129;148.6;427.93;80.662;8.529;367.644;560.311;34.751;5.315;218.485;269620;68292.8;62.261;6.971;151.3;12.785;3.014;100.916;247.084;21.942;24.934;215.735;55.35800000000002;20.367;44.039;525.8629999999999;238.03199999999998;417.46000000000004;5.415999999999993;257.6550000000001;207.85000000000002;26.382000000000012;14.839000000000002;727.684;370736.519;86252.46699999999;40.133;9.924999999999994;159.808;23.17399999999999;2.3410000000000006;84.375;646.787;165.73;419.263;4652.738
2005Q3;96.75;189.145;301.465;877.303;896.782;666.667;65.658;1183.009;1553.598;212.478;46.181;1616.208;772656.45;179486.11;276.313;34.413;821.668;111.347;7.533;390.459;1364.123;226.933;556.673;7547.372;32.713;135.539;160.139;159.644;241.682;204.32;48.855;536.767;762.135;139.254;26.616;622.136;39355.003;12843.693;172.265;12.922;510.502;74.582;2.008;186.638;461.753;45.861;111.211;1943.348;17.09;12.743;22.153;16.065;28.3;72.637;6.481;152.517;349.971;17.532;13.036;39.959;15340.625;6670.084;46.08;1.285;23.059;11.169;0.361;16.719;76.259;5.676;64.917;1281.9;2.354;29.543;46.336;25.984;95.027;33.626;8.231;88.399;108.503;103.123;9.384;302.949;2673.926;5152.623;39.036;0.098;17.781;45.943;1.637;73.1;91.79;13.76;4.999;158.134;13.269000000000002;93.25299999999999;91.65000000000002;117.595;118.35499999999998;98.05699999999999;34.142999999999994;295.85100000000006;303.661;18.59899999999999;4.196;279.2279999999999;21340.451999999997;1020.9859999999999;87.14899999999999;11.539;469.662;17.47;0.010000000000000009;96.81900000000002;293.70399999999995;26.424999999999997;41.294999999999995;503.31399999999985;64.037;53.60600000000002;141.32599999999996;717.659;655.1;462.34700000000004;16.803000000000004;646.242;791.463;73.22400000000002;19.564999999999998;994.0720000000001;733301.4469999999;166642.417;104.048;21.490999999999996;311.166;36.765;5.525;203.821;902.3700000000001;181.072;445.462;5604.024;4.892;0.882;2.987;44.69;0;12.034;0.34;27.71;9.628;14.148;0.022;60.664;97947;14523;0.574;4.628;0;0.461;0.083;22.72;0;3.1;0;736.082;4.899;32.542;91.537;147.95;405.99;50.922;9.071;358.01;561.494;38.113;4.784;217.86;270000;65151.6;60.125;6.363;154.8;12.854;3.111;99.109;245.529;21.451;23.041;210.487;54.246;20.182000000000023;46.801999999999964;525.019;249.11;399.3910000000001;7.392000000000005;260.52199999999993;220.3409999999999;20.963000000000022;14.759;715.5480000000001;365354.4469999999;86967.81699999998;43.349000000000004;10.499999999999996;156.36599999999999;23.450000000000003;2.331;81.992;656.8410000000001;156.52100000000002;422.421;4657.455
2005Q4;95.67;175.204;294.975;879.686;910.183;625.854;69.397;1201.471;1561.021;213.976;44.381;1591.65;776591.23;180193.7;274.598;35.192;830.362;114.543;7.69;393.479;1431.293;226.061;573.493;7709.545;31.699;125.263;150.757;160.169;244.388;196.523;52.312;543.939;756.575;140.662;26.525;610.404;41823.901;12460.71;172.833;14.199;504.934;76.675;1.991;187.062;427.099;46.432;115.67;2052.901;18.039;14.064;23.924;16.403;29.7;68.862;6.812;157.237;360.504;15.183;15.389;38.757;15976.752;5519.128;50.527;1.341;24.869;11.216;0.363;17.247;66.837;6.126;68.068;1305.1;2.471;20.498;44.297;28.251;96.31;37.258;8.411;96.648;120.242;98.812;8.686;307.854;3415.071;3932.46;35.191;0.118;16.185;45.098;1.618;75.763;87.299;15.036;4.167;161.985;11.189;90.70100000000001;82.536;115.51500000000001;118.37800000000001;90.40299999999999;37.089;290.054;275.829;26.667000000000016;2.4499999999999993;263.79300000000006;22432.077999999998;3009.1219999999994;87.115;12.74;463.88000000000005;20.361000000000004;0.010000000000000009;94.05199999999999;272.96299999999997;25.270000000000003;43.435;585.8159999999999;63.971000000000004;49.941;144.21800000000002;719.517;665.795;429.331;17.085000000000008;657.532;804.4459999999999;73.314;17.856;981.2460000000001;734767.329;167732.99000000002;101.76500000000001;20.993000000000002;325.42799999999994;37.86800000000001;5.699;206.41699999999997;1004.194;179.62900000000002;457.82300000000004;5656.644;4.486;0.83;3.22;46.41;0;9.95;0.354;27.217;9.686;13.707;0.022;62.024;98917.5;5253.9;0.467;4.608;0;0.465;0.083;21.023;0;3.3;0;744.21;5.81;31.948;94.113;150.76;402.001;56.493;9.419;374.015;548.243;42.959;4.607;216.849;270950;65201.6;60.703;6.224;165.8;12.653;3.251;99.869;282.284;21.362;30.554;206.708;53.675000000000004;17.163000000000004;46.88500000000002;522.3470000000001;263.794;362.88800000000003;7.312000000000008;256.30000000000007;246.51699999999983;16.64799999999999;13.227000000000004;702.373;364899.829;97277.49000000002;40.59500000000001;10.161000000000001;159.62799999999993;24.750000000000007;2.3649999999999998;85.52499999999998;721.91;154.967;427.26900000000006;4705.726000000001
2006Q1;94.639;185.166;308.285;889.035;925.265;587.151;64.571;1211.122;1580.419;214.744;46.406;1643.01;776543.49;201337.17;275.419;33.203;853.575;115.297;7.867;393.984;1354.364;222.506;574.744;7868.964;29.649;134.425;160.118;163.936;250.118;176.17;47.613;545.822;774.073;137.807;26.639;663.22;41627.545;12651.958;172.754;12.845;527.9;76.387;2.178;189.65;388.692;51.756;121.44;2103.129;17.378;14.908;26.564;15.687;29.9;67.085;7.839;158.609;380.23;15.017;16.719;40.402;15445.561;5127.086;54.685;1.43;26.208;11.719;0.349;21.02;73.826;6.904;78.582;1331.9;2.55;20.448;43.502;29.803;106.898;37.149;7.807;98.498;110.664;98.888;9.897;318.908;2988.505;4133.633;31.973;0.112;16.692;36.583;1.817;78.556;74.271;14.004;4.238;163.68;9.721;99.06900000000002;90.05199999999999;118.446;113.32;71.93599999999999;31.967;288.715;283.179;23.901999999999987;0.02299999999999791;303.90999999999997;23193.478999999996;3391.2390000000005;86.09599999999999;11.303;485;28.085000000000008;0.01200000000000001;90.074;240.59499999999997;30.848000000000006;38.620000000000005;607.5489999999998;64.99;50.740999999999985;148.16700000000003;725.0989999999999;675.1469999999999;410.981;16.958;665.3000000000001;806.3460000000001;76.93700000000001;19.767;979.79;734915.945;188685.212;102.66499999999999;20.358000000000004;325.67500000000007;38.91;5.689;204.33399999999997;965.672;170.75;453.30400000000003;5765.835;7.419;0.837;3.247;44.75;0;9.173;0.36;27.233;9.699;13.623;0.022;62.977;93273.1;12086.2;0.297;4.96;0;0.469;0.082;20.229;0;3.1;0;758.529;5.668;32.517;97.335;163.32;389.997;22.173;9.375;377.219;542.171;41.475;5.018;209.73;276090;72880.7;58.567;3.835;151.2;12.551;3.206;92.67;262.353;20.851;17.632;197.12;51.903;17.38699999999998;47.58500000000002;517.029;285.1499999999999;379.635;7.222999999999999;260.8480000000001;254.4760000000001;21.839000000000013;14.727;707.083;365552.845;103718.31199999999;43.800999999999995;11.563000000000002;174.47500000000008;25.889999999999993;2.4010000000000002;91.43499999999996;703.319;146.799;435.672;4810.186000000001
2006Q2;95.197;193.804;303.188;878.412;941.678;596.39;68.98;1208.338;1592.812;219.515;46.595;1676.296;772037.14;213312.34;276.036;33.643;927.749;119.653;7.978;390.27;1340.776;218.987;597.446;7815.563;31.736;143.305;154.723;161.8;252.392;184.049;52.279;544.077;776.906;143.988;26.55;685.508;46548.457;13076.885;175.714;14.087;601.344;78.792;2.182;191.277;343.002;54.337;125.611;2060.85;19.828;15.472;28.969;16.971;32;65.131;8.868;157.955;393.851;15.039;17.478;40.974;15062.381;4834.63;58.002;1.397;27.241;11.964;0.252;24.484;76.984;6.839;84.277;1397.7;2.586;21.766;42.142;29.308;111.833;36.028;7.561;93.954;101.637;98.477;8.84;327.723;2864.98;4035.737;32.253;0.141;19.812;38.744;1.918;79.373;66.715;14.526;5.965;169.174;9.322000000000001;106.06700000000001;83.61200000000002;115.52100000000002;108.559;82.89000000000001;35.85;292.16799999999995;281.41799999999995;30.47200000000001;0.23199999999999932;316.811;28621.096;4206.518000000001;85.45899999999999;12.549;554.291;28.084000000000003;0.01200000000000001;87.41999999999997;199.30300000000003;32.97200000000001;35.369;493.9759999999999;63.461;50.498999999999995;148.46499999999997;716.6120000000001;689.2860000000001;412.341;16.701;664.261;815.906;75.52699999999999;20.044999999999998;990.788;725488.683;200235.455;100.322;19.556;326.405;40.861000000000004;5.795999999999999;198.993;997.7740000000001;164.64999999999998;471.83500000000004;5754.713;7.312;0.87;3.317;47.34;0;9.786;0.367;27.608;9.901;13.11;0.022;64.424;84902.7;10086.2;0.344;4.925;0;0.473;0.083;20.151;0;3.03;0;766.349;4.996;32.297;98.185;161.99;400.043;33.673;9.435;366.547;536.67;42.375;5.706;217.876;279200;77480.1;58.301;4.5;149.8;12.51;3.242;88.16;283.862;20.612;22.452;198.641;51.153;17.332;46.962999999999965;507.28200000000004;289.24300000000005;368.882;6.898999999999999;270.106;269.33500000000004;20.041999999999987;14.317;708.488;361385.983;112669.15499999997;41.67700000000001;10.131;176.60499999999996;27.878000000000007;2.470999999999999;90.68199999999999;713.912;141.00799999999998;449.38300000000004;4789.723
